Restaurants Type,id,name,city,avgRating,cuisines,costForTwoStrings,deliveryTime,minDeliveryTime,maxDeliveryTime,locality,unserviceable,Vegetarian
Fine,25158,Hot Seekh,Mumbai,4.1,"['Tandoor',,'Arabian',,'Grill',,'Lucknowi',,'Chinese',,'Indian',,'Beverages',,'Mughlai',,'Awadhi',,'Lebanese']",220,52,52,52,Opposite Gulam Nabi Manzil,False,False
Fine,32499,Rajasthan,Mumbai,4.0,"['Biryani',,'Desserts',,'North,Indian',,'Chinese',,'Ice,Cream',,'Mughlai',,'Fast,Food']",400,52,52,52,Sv Road,False,False
Fine,18693,Shiv Sagar,Mumbai,4.4,"['South,Indian',,'Continental',,'Beverages',,'Ice,Cream']",250,56,56,56,Khar West SV Road,False,False
Fine,149172,Shree Krishna Chhaya,Mumbai,4.3,"['North,Indian',,'South,Indian',,'Chinese',,'Fast,Food']",400,54,54,54,Bandra West,False,True
Fine,264202,Mughal Khabsa,Mumbai,0.0,"['Mughlai',,'Seafood',,'Beverages']",700,60,60,60,Ghatkopar Vikhroli,False,False
Fine,21369,Urban Street Cafe,Mumbai,4.5,"['Italian',,'Lebanese',,'Chinese',,'Indian',,'Mexican',,'Biryani',,'Pan-Asian',,'Asian',,'Salads',,'American']",450,54,54,54,Bhavya Plaza,False,True
Fine,19009,Dimsum (MOMO) Express,Mumbai,4.1,['Asian'],200,54,54,54,JB Nagar,False,False
Fine,361862,Papacream,Mumbai,4.7,"['Ice,Cream',,'Desserts']",350,63,63,63,Marol Sakinaka,False,False
Fine,17708,Bachelorr's,Mumbai,4.1,"['Fast,Food',,'Desserts',,'Beverages']",800,47,47,47,ONGC Colony Road,False,True
Fine,54728,THE SERIAL GRILLER - BURGERS PLUS,Mumbai,3.9,['American'],450,55,55,55,Khar,False,False
Fine,56491,Sangeeta's Kitchen,Mumbai,3.8,['Indian'],500,66,66,66,Chakala,False,False
Fine,423553,POLKA POP,Mumbai,0.0,['Beverages'],120,57,57,57,Marol Sakinaka,False,False
Fine,466669,Filo Bakes,Mumbai,0.0,"['Bakery',,'Desserts']",400,56,56,56,Andheri East,False,False
Fine,226267,Chai Point,Mumbai,4.4,"['Bakery',,'Combo',,'Beverages',,'Maharashtrian',,'Snacks',,'Street,Food',,'South,Indian',,'Punjabi',,'Fast,Food']",150,52,52,52,opp. Nirali Hospital,False,False
Fine,7940,99 East,Mumbai,0.0,"['North,Indian',,'Chinese',,'Seafood']",300,57,57,57,Andheri East,False,False
Fine,85253,Live bakers,Mumbai,4.1,['Desserts'],300,56,56,56,Andheri East,False,False
Fine,463632,RushHrs,Mumbai,0.0,"['American',,'Snacks',,'Beverages']",300,57,57,57,Marol Sakinaka,False,False
Fine,440968,FOOD LEE'S FAMILY RESTAURANT,Mumbai,0.0,"['Indian',,'Chinese']",360,56,56,56,Sion Bhakti Park,False,False
Fine,447118,The Great Indian Appetizers,Mumbai,0.0,"['Chinese',,'Lebanese',,'Pizzas']",300,57,57,57,Powai,False,False
Fine,59771,Bombay Kitchen,Mumbai,0.0,"['Indian',,'Chinese',,'Pizzas',,'Pastas',,'Snacks',,'Biryani',,'Continental',,'Beverages',,'Desserts']",350,54,54,54,Chakala,False,False
Fine,456001,Natures love momo,Mumbai,0.0,['Chinese'],200,54,54,54,Bandra West,False,False
Fine,261872,Bombay Tandoori,Mumbai,3.7,"['Indian',,'Tandoor',,'Chinese',,'Mughlai']",250,54,54,54,Marol Sakinaka,False,False
Fine,264201,Mandali Swayampak Ghar,Mumbai,0.0,['Biryani'],500,61,61,61,Ghatkopar Vikhroli,False,False
Fine,42603,Aradhana Coastal Delight,Mumbai,4.4,"['Seafood',,'Malwani',,'Indian']",750,58,58,58,Khar,False,False
Fine,435825,Dragon House,Mumbai,0.0,['Chinese'],350,64,64,64,Sion Bhakti Park,False,False
Fine,84174,Jaybharat Bar & Restaurant,Mumbai,0.0,"['North,Indian']",500,66,66,66,Sion  Bhakti Park,False,False
Fine,453658,The Asian Place,Mumbai,4.7,['Indian'],400,59,59,59,Andheri East,False,False
Fine,207415,Desi Desserts,Mumbai,0.0,['Desserts'],400,58,58,58,Marol Sakinaka,False,True
Fine,256059,The South Pavilion,Mumbai,4.4,"['Beverages',,'Fast,Food',,'North,Indian',,'South,Indian']",600,56,56,56,Ghatkopar Vikhroli,False,False
Fine,133393,Dessert Junction,Mumbai,3.7,['Desserts'],200,54,54,54,Andheri East,False,True
Fine,402638,Chembur Social,Mumbai,3.7,"['Indian',,'Chinese',,'Fast,Food',,'American',,'Biryani',,'Combo']",600,59,59,59,NATRAJ COMPOUND  DR C G ROAD,False,False
Fine,118195,Unique Chinese Point,Mumbai,3.9,['Chinese'],400,57,57,57,Chembur,False,False
Fine,68055,Classic Fast Food,Mumbai,4.3,"['Indian',,'Chinese',,'Continental']",500,53,53,53,Matunga East,False,False
Fine,367042,Nityam Food Court,Mumbai,4.3,"['Snacks',,'South,Indian',,'Chaat',,'Chinese',,'Indian',,'Tandoor']",300,56,56,56,Bandra West,False,False
Fine,297567,Cafe marol,Mumbai,3.8,"['Indian',,'Chinese',,'Tandoor']",200,54,54,54,Marol Sakinaka,False,False
Fine,2312,The Punjabi's Kitchen,Mumbai,4.4,"['North,Indian']",500,65,65,65,Guru Hargobindji Marg  Andheri East,False,False
